Title,Model,Gold Weight,Brilliant Weight,Brilliant Type,Color Grade,Clarity,Polish,Quality Type,Guaranty Type,Stone Weight,Price
 حلقه ازدواج ست طلا زرد و سفید با نگین الماس تراش برلیان , srd1541,22/610,0/71 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,72160000
حلقه ست ازدواج طلای رزگلد با نگین الماس تراش برلیان , srd1540,10/330,1/01 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,84450000
حلقه ست ازدواج طلا با نگین الماس تراش برلیان سیاه و سفید , srd1539,6/280,0/62 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,51310000
حلقه ست ازدواج طلا با نگین الماس تراش برلیان , srd1538,5/880,0/58 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,48100000
حلقه ست ازدواج طلا با نگین الماس تراش برلیان , srd1537,8/810,0/86 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,72020000
حلقه ازدواج ست طلا با نگین الماس تراش برلیان , srd1536,8/110,0/79 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,66280000
حلقه ازدواج ست طلای رزگلد با نگین الماس تراش برلیان , srd1535,6/370,0/62 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,52110000
حلقه ازدواج ست طلا با نگین الماس تراش برلیان , srd1534,6/470,0/63 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,52910000
حلقه ازدواج ست طلای رزگلد و سفید با نگین الماس تراش برلیان , srd1533,7/220,0/71 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,59060000
حلقه ازدواج ست طلا سفید با نگین الماس تراش برلیان طرح قلب , srd1532,6/310,0/62 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,51580000
حلقه ازدواج ست طلای سفید با نگین الماس تراش برلیان , srd1531,6/880,0/67 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,56250000
حلقه ازدواج ست طلای سفید با نگین الماس تراش برلیان , srd1530,8/740,0/86 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,71490000
حلقه ازدواج ست طلا با نگین الماس تراش پرنس , srd1529,5/970,0/58 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,48770000
حلقه ازدواج ست طلا با نگین الماس تراش برلیان طرح بولگاری , srd1528,12/170,1/19 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,99510000
حلقه ازدواج ست طلای سه رنگ با نگین الماس تراش برلیان , srd1527,10/490,1/03 قیراط,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,85740000
حلقه ازدواج ست طلای سفید با نگین الماس تراش برلیان , srd1526,9/480,0/93 سوت,برلیان سفید پاک,F.G,FULL CUT - VS,"Excellent , Very Good","Excellent , Very Good",طلایی مادام العمر,مابین 50 سوت تا 2.5 قیراط متغیر,77490000
